#{"t_start": 1746214964.079474, "env_id": "None"}
r,l,t
480.123927,1000,8.555754
458.152878,1000,17.25308
480.354,1000,25.976813
495.26676,1000,34.594327
485.176885,1000,43.371511
509.000311,1000,52.065287
512.146718,1000,60.737213
509.922011,1000,69.378258
513.770793,1000,78.146595
528.289023,1000,86.962376
509.973845,1000,95.589927
497.652394,1000,104.265272
495.63658,1000,112.987117
498.446189,1000,121.713724
508.708378,1000,130.377317
552.242387,1000,139.199655
490.539429,1000,147.906669
476.641624,1000,156.595235
651.147747,1000,165.320104
637.677007,1000,174.062186
460.146767,1000,182.778494
439.432201,1000,191.520893
603.958842,1000,200.190972
380.905711,1000,208.90211
625.682046,1000,217.673458
651.453103,1000,226.408126
366.946742,1000,235.388777
604.485275,1000,244.058565
584.696676,1000,252.810901
631.774485,1000,261.536489
583.393096,1000,270.231244
580.004443,1000,278.93565
505.648878,1000,287.692804
482.449238,1000,296.453086
498.942507,1000,305.147846
442.156244,1000,313.85552
370.665461,1000,322.623963
342.977557,1000,331.421198
624.242314,1000,340.203943
575.036627,1000,348.929184
597.624133,1000,357.689867
637.238668,1000,366.43527
415.509511,1000,375.150677
653.661624,1000,383.907731
653.235702,1000,392.633522
576.790707,1000,401.384576
395.265428,1000,410.152948
648.904447,1000,418.849516
660.678268,1000,427.646381
485.496727,1000,436.452307
647.885364,1000,445.211113
638.851859,1000,453.91983
640.84228,1000,462.696422
654.655911,1000,471.456065
486.58922,1000,480.162182
618.717585,1000,488.834538
628.602118,1000,497.531771
601.356202,1000,506.222812
639.020206,1000,514.936061
634.945175,1000,523.635768
646.552043,1000,532.381249
625.749687,1000,541.038412
370.385055,1000,549.711626
406.72056,1000,558.512616
571.769735,1000,567.307128
613.677066,1000,576.060019
631.855375,1000,584.783848
638.339525,1000,593.563818
629.88513,1000,602.383868
608.167861,1000,611.245669
657.048278,1000,620.056835
656.412783,1000,628.856017
657.810604,1000,637.674568
625.353192,1000,646.493617
645.691263,1000,655.256199
661.606271,1000,664.169209
653.276951,1000,673.46294
634.752121,1000,682.187012
634.920868,1000,690.953128
649.015223,1000,700.04016
643.308088,1000,708.724544
649.290922,1000,717.503641
654.65797,1000,726.31368
650.563432,1000,735.053386
623.008795,1000,743.841876
657.351657,1000,752.565527
659.806095,1000,761.275423
672.377182,1000,770.03389
678.014234,1000,778.762224
695.529995,1000,787.522731
671.916954,1000,796.37343
671.896927,1000,805.29727
673.797474,1000,814.013222
667.163624,1000,822.857267
655.67275,1000,831.624231
657.323335,1000,840.423807
659.885084,1000,849.20848
645.542203,1000,857.946273
657.750625,1000,866.754427
679.362728,1000,875.494998
659.290327,1000,884.41873
662.611332,1000,893.215232
649.394573,1000,901.874974
648.409333,1000,910.533133
636.449067,1000,919.170786
636.864819,1000,927.883939
663.67041,1000,936.654965
676.247682,1000,945.336078
679.62563,1000,954.069574
666.322659,1000,962.760414
675.758152,1000,971.583838
665.258176,1000,980.315194
668.109395,1000,989.06388
647.648781,1000,997.741099
669.44289,1000,1007.233789
670.104671,1000,1017.047216
663.444286,1000,1026.755979
632.282605,1000,1036.457095
626.573535,1000,1046.00167
647.854853,1000,1055.71228
669.731042,1000,1065.527272
666.26982,1000,1075.563548
660.311225,1000,1084.483925
671.543557,1000,1093.393206
664.436693,1000,1102.807795
671.228907,1000,1111.836555
655.080223,1000,1121.202963
643.9329,1000,1132.339981
653.599274,1000,1143.082731
661.746607,1000,1153.675739
646.097064,1000,1164.144205
666.102748,1000,1174.685411
653.675692,1000,1185.30771
680.415939,1000,1195.819913
669.054092,1000,1206.312175
666.600854,1000,1216.936274
664.075148,1000,1227.513161
670.545094,1000,1238.13705
661.912276,1000,1249.760294
667.293861,1000,1260.438191
663.222415,1000,1272.254698
662.729389,1000,1283.49162
675.330788,1000,1294.378675
685.78121,1000,1306.252557
674.124537,1000,1316.85725
677.600381,1000,1327.495887
661.992033,1000,1337.975878
674.396129,1000,1348.364956
683.428377,1000,1359.026029
681.550442,1000,1370.104932
680.862452,1000,1380.951111
681.357459,1000,1391.589719
681.526336,1000,1402.308074
677.333265,1000,1413.046989
679.506489,1000,1424.383114
678.307967,1000,1435.348103
679.62657,1000,1446.05289
680.474675,1000,1456.701463
691.338677,1000,1467.067826
680.189634,1000,1477.863853
673.142253,1000,1488.466874
681.79635,1000,1499.446291
685.038663,1000,1509.862769
682.573284,1000,1520.250597
678.899821,1000,1530.575621
690.435002,1000,1541.01173
674.993667,1000,1551.406174
689.127762,1000,1561.898342
676.404833,1000,1572.57012
654.836163,1000,1582.989191
681.869036,1000,1593.368763
690.273137,1000,1604.257271
682.471621,1000,1614.900644
692.228396,1000,1625.324772
676.658496,1000,1635.785718
669.994284,1000,1646.383746
676.925555,1000,1656.726945
686.17717,1000,1667.062582
678.205327,1000,1677.653018
671.772855,1000,1688.113339
659.208412,1000,1698.509666
683.572859,1000,1709.128273
669.845759,1000,1719.880215
672.120505,1000,1730.586756
657.36764,1000,1741.180506
674.239393,1000,1751.729196
675.69586,1000,1762.317084
670.176378,1000,1773.547311
681.935882,1000,1784.33608
679.404762,1000,1795.261712
673.783834,1000,1806.847492
665.481916,1000,1818.865248
636.769855,1000,1829.904487
676.477464,1000,1841.156773
686.772905,1000,1852.749377
690.08091,1000,1864.789264
688.625054,1000,1875.675509
703.635978,1000,1886.137532
699.523151,1000,1896.523376
692.674904,1000,1907.018422
